,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
1481,増毛町　　　　,Mashike-cho,"4,497","4,436",61,"4,116",427,"2,179","1,891",...,21,89,85,118,"4,295","2,051","2,041","1,120",713,643,391,396,8,4,1481
1482,小平町　　　　,Obira-cho,"3,336","3,321",15,"2,996",301,"1,811","1,224",...,13,53,50,98,"3,257","1,406","1,385",765,461,407,246,223,12,6,1482
1483,苫前町　　　　,Tomamae-cho,"3,265","3,254",11,"2,986",333,"1,657","1,275",...,9,52,84,92,"3,283","1,420","1,409",791,455,425,275,250,7,4,1483
1484,羽幌町　　　　,Haboro-cho,"7,327","7,318",6,"6,661",789,"3,629","2,903",...,26,91,183,257,"7,327","3,367","3,363","1,894","1,185",976,664,614,17,9,1484
1485,初山別村　　　,Shosambetsu-mura,"1,217","1,216",1,"1,125",114,666,437,...,7,17,46,63,"1,197",537,531,285,195,144,103,89,6,1,1485
1486,遠別町　　　　,Embetsu-cho,"2,806","2,789",17,"2,543",296,"1,447","1,063",...,9,59,88,122,"2,770","1,225","1,220",737,376,372,250,171,11,5,1486
1487,天塩町　　　　,Teshio-cho,"3,243","3,220",23,"2,973",364,"1,830","1,049",...,12,31,158,174,"3,337","1,502","1,499",801,563,363,237,182,5,4,1487
1511,猿払村　　　　,Sarufutsu-mura,"2,684","2,579",105,"2,722",416,"1,656",612,...,20,33,108,135,"2,770","1,174","1,172",623,443,202,121,115,5,4,1511
1512,浜頓別町　　　,Hamatombetsu-cho,"3,881","3,763",118,"3,488",416,"2,218","1,246",...,15,47,183,191,"3,947","1,845","1,840",947,764,419,273,252,22,9,1512
1513,中頓別町　　　,Nakatombetsu-cho,"1,757","1,755",1,"1,657",158,918,680,...,11,31,69,73,"1,712",775,769,430,290,209,137,132,6,1,1513
1514,枝幸町　　　　,Esashi-cho,"8,437","8,289",147,"7,856",990,"4,729","2,717",...,44,127,242,310,"8,365","3,772","3,767","2,113","1,307",971,618,551,31,16,1514
1516,豊富町　　　　,Toyotomi-cho,"4,054","4,036",18,"3,823",477,"2,352","1,224",...,23,52,171,208,"3,992","1,782","1,776","1,003",592,414,246,225,10,10,1516
1517,礼文町　　　　,Rebun-cho,"2,773","2,749",24,"2,416",269,"1,561",943,...,12,42,140,162,"2,832","1,353","1,350",691,549,329,211,228,4,5,1517
1518,利尻町　　　　,Rishiri-cho,"2,303","2,302",1,"1,964",217,"1,211",875,...,9,35,105,118,"2,343","1,154","1,150",630,466,330,212,212,11,2,1518
1519,利尻富士町　　,Rishirifuji-cho,"2,787","2,774",13,"2,388",340,"1,447","1,000",...,14,53,104,107,"2,780","1,264","1,259",720,446,337,211,217,11,4,1519
1520,幌延町　　　　,Horonobe-cho,"2,447","2,427",20,"2,269",320,"1,478",649,...,18,35,136,143,"2,549","1,138","1,128",554,493,199,129,126,13,5,1520
1543,美幌町　　　　,Bihoro-cho,"20,296","20,239",54,"18,941","2,376","11,374","6,533","13,273",88,266,651,765,"19,592","8,626","8,601","5,219","2,569","2,349","1,485","1,189",65,28,1543
1544,津別町　　　　,Tsubetsu-cho,"5,008","4,997",11,"4,484",432,"2,483","2,093",...,17,79,145,196,"5,263","2,231","2,225","1,253",727,702,475,407,9,7,1544
1545,斜里町　　　　,Shari-cho,"12,231","12,142",89,"11,300","1,426","7,139","3,666","6,207",65,140,359,476,"12,570","5,547","5,537","2,850","2,134","1,215",774,726,47,15,1545
1546,清里町　　　　,Kiyosato-cho,"4,221","4,218",3,"3,951",528,"2,179","1,514",...,24,66,122,136,"4,097","1,671","1,669",939,481,468,301,230,10,4,1546
1547,小清水町　　　,Koshimizu-cho,"5,085","5,062",23,"4,676",599,"2,710","1,773",...,25,90,129,183,"4,959","2,033","2,029","1,091",600,538,317,273,13,10,1547
1549,訓子府町　　　,Kunneppu-cho,"5,100","5,082",18,"4,810",616,"2,654","1,830",...,25,77,124,157,"4,932","1,910","1,907","1,114",441,574,351,233,8,10,1549
1550,置戸町　　　　,Oketo-cho,"3,092","3,088",4,"2,765",287,"1,496","1,305",...,16,58,89,116,"3,103","1,304","1,299",714,441,398,269,214,5,3,1550
1552,佐呂間町　　　,Saroma-cho,"5,362","5,219",143,"4,955",601,"2,755","2,006",...,25,82,117,160,"5,547","2,311","2,304","1,292",746,661,454,328,18,7,1552
1555,遠軽町　　　　,Engaru-cho,"20,873","20,826",46,"19,358","2,413","11,111","7,334","10,851",93,286,766,880,"20,655","9,278","9,214","5,471","3,137","2,607","1,731","1,420",74,26,1555
1559,湧別町　　　　,Yubetsu-cho,"9,231","9,100",131,"8,469",965,"4,961","3,305",...,45,158,262,312,"9,379","3,861","3,850","2,131","1,217","1,042",683,585,20,11,1559
1560,滝上町　　　　,Takinoue-cho,"2,721","2,710",11,"2,479",239,"1,362","1,120",...,14,33,81,131,"2,740","1,295","1,292",715,489,390,267,240,7,2,1560
1561,興部町　　　　,Okoppe-cho,"3,909","3,843",66,"3,755",464,"2,218","1,227",...,28,38,147,177,"4,054","1,757","1,754",976,615,446,281,234,12,7,1561
1562,西興部村　　　,Nishiokoppe-mura,"1,116","1,105",11,"1,058",119,630,367,...,10,26,85,80,"1,087",501,493,236,231,91,61,73,5,2,1562
1563,雄武町　　　　,Omu-cho,"4,525","4,359",166,"4,339",499,"2,588","1,438",...,23,67,139,168,"4,537","2,062","2,059","1,036",792,459,268,306,18,7,1563
1564,大空町　　　　,Ozora-cho,"7,360","7,352",8,"6,963",926,"3,969","2,464",...,27,120,201,276,"7,474","2,874","2,865","1,612",807,734,436,386,20,11,1564
1571,豊浦町　　　　,Toyoura-cho,"4,291","4,270",21,"3,759",442,"2,315","1,534",...,12,71,140,205,"4,057","1,973","1,961",986,849,475,294,318,6,6,1571
1575,壮瞥町　　　　,Sobetsu-cho,"2,922","2,905",17,"2,429",282,"1,402","1,238",...,8,40,125,133,"3,389","1,168","1,159",610,439,322,193,179,7,4,1575
1578,白老町　　　　,Shiraoi-cho,"17,740","17,649",85,"16,356","1,475","8,978","7,204","5,484",43,271,529,578,"18,011","7,955","7,911","4,742","2,648","2,650","1,681","1,490",40,24,1578
1581,厚真町　　　　,Atsuma-cho,"4,838","4,815",23,"4,420",532,"2,592","1,714",...,29,60,144,190,"5,377","2,126","2,121","1,122",779,575,366,267,17,5,1581
1584,洞爺湖町　　　,Toyako-cho,"9,299","9,221",72,"8,494",823,"4,697","3,738",...,33,169,322,359,"9,637","4,240","4,217","2,255","1,631","1,189",767,786,18,12,1584
1585,安平町　　　　,Abira-cho,"8,148","8,112",36,"7,566",887,"4,429","2,814",...,30,125,311,410,"8,626","3,651","3,635","2,030","1,325",985,639,586,21,9,1585
1586,むかわ町　　　,Mukawa-cho,"8,596","8,504",92,"7,734",845,"4,609","3,141",...,35,110,278,369,"8,683","3,784","3,768","2,036","1,342","1,010",635,636,29,6,1586
1601,日高町　　　　,Hidaka-cho,"12,378","12,268",110,"11,647","1,456","6,961","3,961",...,65,174,499,716,"12,226","5,781","5,736","2,994","2,310","1,341",867,821,34,21,1601
1602,平取町　　　　,Biratori-cho,"5,315","5,189",125,"4,785",662,"2,949","1,704",...,20,78,159,232,"5,380","2,373","2,306","1,231",872,556,350,387,13,7,1602
1604,新冠町　　　　,Niikappu-cho,"5,592","5,531",61,"5,392",733,"3,115","1,708",...,22,83,249,279,"5,372","2,405","2,389","1,298",835,533,311,333,16,13,1604
1607,浦河町　　　　,Urakawa-cho,"13,075","13,001",74,"11,998","1,509","7,670","3,895",...,73,133,598,731,"13,409","6,178","6,152","3,120","2,587","1,299",795,885,45,12,1607
1608,様似町　　　　,Samani-cho,"4,518","4,504",14,"4,125",449,"2,432","1,635",...,17,73,99,152,"4,258","2,044","2,042","1,171",675,577,334,380,11,3,1608
1609,えりも町　　　,Erimo-cho,"4,906","4,883",23,"4,516",687,"2,852","1,367",...,18,78,155,188,"4,890","1,929","1,915","1,073",549,440,258,243,14,9,1609
1610,新ひだか町　　,Shinhidaka-cho,"23,231","23,164",63,"21,872","2,798","12,991","7,427","11,640",125,284,853,"1,060","23,371","10,443","10,392","5,801","3,775","2,553","1,624","1,589",77,39,1610
1631,音更町　　　　,Otofuke-cho,"44,807","44,701",76,"44,045","6,645","26,252","11,866","36,436",245,489,"1,521","1,622","38,589","18,019","17,975","11,550","4,844","4,129","2,523","1,980",142,78,1631
1632,士幌町　　　　,Shihoro-cho,"6,132","6,093",39,"6,027",844,"3,494","1,794",...,33,91,276,233,"6,870","2,479","2,474","1,257",882,495,311,325,25,4,1632
1633,上士幌町　　　,Kamishihoro-cho,"4,765","4,727",38,"4,964",543,"2,543","1,676",...,31,70,296,251,"5,002","2,177","2,172","1,130",850,555,369,344,16,8,1633
1634,鹿追町　　　　,Shikaoi-cho,"5,542","5,497",45,"5,247",808,"3,167","1,567",...,27,53,255,308,"5,736","2,258","2,251","1,252",770,489,329,254,27,6,1634
1635,新得町　　　　,Shintoku-cho,"6,288","6,215",73,"5,835",661,"3,441","2,183",...,28,91,269,361,"6,311","3,043","3,027","1,579","1,279",763,517,450,29,10,1635
1636,清水町　　　　,Shimizu-cho,"9,599","9,544",53,"9,305","1,095","5,167","3,330",...,40,124,375,352,"9,972","4,131","4,108","2,349","1,388","1,162",761,557,28,10,1636
1637,芽室町　　　　,Memuro-cho,"18,484","18,443",23,"18,326","2,815","10,600","5,042","12,054",94,193,546,594,"19,384","7,169","7,149","4,637","1,745","1,676","1,081",768,42,26,1637
1638,中札内村　　　,Nakasatsunai-mura,"3,966","3,946",20,"3,922",519,"2,359","1,087",...,25,42,175,144,"4,256","1,609","1,599",915,542,344,224,189,12,7,1638
1639,更別村　　　　,Sarabetsu-mura,"3,185","3,178",7,"3,151",431,"1,831",923,...,20,40,128,108,"3,317","1,239","1,234",644,386,258,163,135,15,4,1639
1641,大樹町　　　　,Taiki-cho,"5,738","5,690",48,"5,451",702,"3,092","1,943",...,37,87,252,279,"6,041","2,534","2,530","1,386",898,657,428,313,22,5,1641
1642,広尾町　　　　,Hiroo-cho,"7,030","6,997",33,"6,547",757,"3,822","2,451",...,37,103,217,247,"6,955","3,157","3,148","1,836","1,043",869,566,477,19,9,1642
1643,幕別町　　　　,Makubetsu-cho,"26,760","26,704",46,"26,443","3,542","15,173","8,025","14,568",151,327,862,884,"23,001","10,944","10,918","7,235","2,742","2,963","1,878","1,251",65,36,1643
1644,池田町　　　　,Ikeda-cho,"6,882","6,871",11,"6,440",622,"3,437","2,751",...,24,126,190,272,"6,722","3,044","3,029","1,754",970,980,616,509,15,7,1644
1645,豊頃町　　　　,Toyokoro-cho,"3,182","3,157",25,"3,088",317,"1,659","1,206",...,16,42,110,147,"3,300","1,362","1,359",762,436,404,264,197,14,3,1645
1646,本別町　　　　,Hombetsu-cho,"7,358","7,340",18,"6,733",734,"3,821","2,802",...,31,127,266,334,"7,496","3,260","3,251","1,874","1,069",978,628,555,18,11,1646
1647,足寄町　　　　,Ashoro-cho,"6,990","6,981",9,"6,684",807,"3,533","2,648",...,29,102,245,281,"7,064","3,179","3,168","1,817","1,079",934,621,502,22,11,1647
1648,陸別町　　　　,Rikubetsu-cho,"2,482","2,461",21,"2,314",247,"1,311",923,...,10,41,86,103,"2,510","1,128","1,120",578,454,300,198,178,9,2,1648
1649,浦幌町　　　　,Urahoro-cho,"4,919","4,911",7,"4,544",524,"2,532","1,861",...,28,65,152,176,"4,914","2,086","2,081","1,182",628,615,405,293,10,2,1649
1661,釧路町　　　　,Kushiro-cho,"19,833","19,802",28,"19,392","2,438","12,442","4,953","10,923",139,188,904,"1,043","18,443","8,119","8,094","5,140","2,163","1,813","1,019",829,95,53,1661
1662,厚岸町　　　　,Akkeshi-cho,"9,778","9,686",92,"9,064","1,102","5,564","3,105",...,35,128,290,299,"9,639","4,115","4,107","2,311","1,262","1,057",627,569,29,16,1662
1663,浜中町　　　　,Hamanaka-cho,"6,061","6,017",44,"5,664",804,"3,516","1,741",...,40,84,211,269,"6,122","2,325","2,322","1,250",639,539,285,251,21,9,1663
1664,標茶町　　　　,Shibecha-cho,"7,742","7,705",37,"7,425",991,"4,313","2,436",...,43,91,289,324,"7,766","3,281","3,273","1,840","1,058",830,505,437,20,10,1664
1665,弟子屈町　　　,Teshikaga-cho,"7,758","7,734",24,"6,937",807,"4,113","2,838",...,30,135,270,334,"7,846","3,509","3,497","1,904","1,289",930,575,558,33,9,1665
1667,鶴居村　　　　,Tsurui-mura,"2,534","2,517",17,"2,520",325,"1,381",809,...,15,30,118,92,"2,605","1,026","1,022",598,324,239,156,122,3,3,1667
1668,白糠町　　　　,Shiranuka-cho,"8,068","8,047",21,"7,539",757,"4,329","2,981",...,22,107,165,239,"8,431","3,609","3,604","2,158","1,122","1,139",673,635,16,8,1668
1691,別海町　　　　,Betsukai-cho,"15,273","15,070",203,"14,827","2,338","9,177","3,746",...,105,154,543,670,"15,837","5,997","5,978","3,160","1,917","1,179",679,512,59,29,1691
1692,中標津町　　　,Nakashibetsu-cho,"23,774","23,696",54,"23,203","3,563","14,625","5,491","9,663",163,208,916,"1,045","23,128","10,437","10,426","6,053","3,540","2,062","1,235",974,99,62,1692
1693,標津町　　　　,Shibetsu-cho,"5,242","5,214",28,"5,123",676,"3,064","1,498",...,33,55,162,246,"5,461","2,169","2,162","1,247",659,520,306,253,8,5,1693
1694,羅臼町　　　　,Rausu-cho,"5,415","5,356",59,"4,766",648,"3,334","1,433",...,21,66,117,262,"5,479","2,101","2,097","1,036",624,419,212,185,20,13,1694
2,青森県　　　,Aomori-ken,"1,308,265","1,302,132","3,447","1,260,067","148,208","757,867","390,940","610,034","6,837","17,905","32,553","37,159","1,306,283","510,945","509,241","271,241","153,443","121,078","56,383","61,580","4,032","1,915",2
2201,青森市　　　　,Aomori-shi,"287,648","286,000",737,"278,446","32,528","168,992","80,297","224,677","1,480","3,566","6,959","7,623","291,843","118,234","117,852","64,486","38,418","26,833","12,462","14,046",938,421,2201
2202,弘前市　　　　,Hirosaki-shi,"177,411","176,698",470,"168,479","19,410","105,062","51,830","119,063","1,041","2,435","4,415","4,772","190,230","71,152","70,913","35,028","24,554","15,273","6,874","8,647",546,262,2202
2203,八戸市　　　　,Hachinohe-shi,"231,257","229,422",693,"225,845","28,122","136,712","63,614","156,053","1,378","2,750","6,010","6,629","241,823","93,750","93,519","52,839","28,681","21,762","10,449","10,447",843,349,2203
2204,黒石市　　　　,Kuroishi-shi,"34,284","34,222",52,"32,530","3,864","20,215","10,178","16,009",165,488,610,836,"32,054","11,770","11,719","6,061","2,755","2,782","1,092","1,414",100,42,2204
2205,五所川原市　　,Goshogawara-shi,"55,181","55,058",70,"53,204","6,007","31,606","17,433","16,047",251,799,"1,333","1,558","55,821","21,143","21,054","11,175","5,939","5,083","2,500","2,912",133,80,2205
2206,十和田市　　　,Towada-shi,"63,429","63,175",169,"60,345","7,325","37,028","18,850","26,779",327,865,"1,559","1,744","63,542","25,487","25,410","13,180","8,287","5,681","2,808","2,776",190,99,2206
2207,三沢市　　　　,Misawa-shi,"40,196","39,839",300,"39,323","5,791","24,779","9,478","23,434",323,404,"1,975","2,262","41,679","16,367","16,286","8,967","5,453","3,017","1,494","1,847",213,85,2207
2208,むつ市　　　　,Mutsu-shi,"58,493","58,303",111,"55,931","7,007","33,885","17,326","17,156",284,821,"1,920","2,232","57,664","24,475","24,391","13,584","7,817","5,863","3,044","3,214",195,107,2208
2209,つがる市　　　,Tsugaru-shi,"33,316","33,265",34,"31,413","3,474","18,309","11,507",...,135,490,595,832,"31,730","10,984","10,937","5,417","2,250","2,854","1,352","1,389",85,39,2209
2210,平川市　　　　,Hirakawa-shi,"32,106","32,077",29,"30,708","3,634","18,384","10,085","5,222",151,484,607,672,"28,534","10,129","10,090","5,146","1,777","2,584",958,"1,009",76,41,2210
2301,平内町　　　　,Hiranai-machi,"11,142","11,117",24,"10,639","1,072","6,123","3,946",...,33,173,155,246,"10,027","3,971","3,956","2,091",947,"1,169",554,589,21,5,2301
2303,今別町　　　　,Imabetsu-machi,"2,756","2,752",4,"2,495",139,"1,225","1,392",...,7,64,53,77,"2,656","1,277","1,274",672,432,491,271,283,3,0,2303
2304,蓬田村　　　　,Yomogita-mura,"2,896","2,894",2,"2,687",291,"1,500","1,080",...,3,51,27,55,"2,610",959,953,480,199,297,132,119,2,3,2304
2307,外ヶ浜町　　　,Sotogahama-machi,"6,198","6,182",16,"5,734",437,"2,927","2,832",...,7,121,114,164,"6,199","2,577","2,554","1,323",808,906,472,527,6,3,2307
2321,鰺ヶ沢町　　　,Ajigasawa-machi,"10,126","10,106",11,"9,472",851,"5,230","4,021",...,25,208,168,243,"9,635","3,851","3,834","1,940","1,035","1,149",568,626,18,11,2321
2323,深浦町　　　　,Fukaura-machi,"8,429","8,415",13,"7,787",667,"3,986","3,776",...,20,175,104,180,"8,126","3,304","3,288","1,659",951,"1,111",608,651,9,6,2323
2343,西目屋村　　　,Nishimeya-mura,"1,415","1,415",0,"1,327",129,750,536,...,4,27,15,25,"1,293",488,484,219,129,148,55,50,3,3,2343
2361,藤崎町　　　　,Fujisaki-machi,"15,179","15,167",11,"14,812","1,808","8,739","4,628",...,98,213,348,403,"13,033","4,942","4,924","2,604",931,"1,209",467,538,43,19,2361
2362,大鰐町　　　　,Owani-machi,"9,676","9,672",1,"9,182",786,"5,133","3,755",...,35,171,152,225,"7,881","3,421","3,408","1,615",802,"1,061",401,541,28,13,2362
2367,田舎館村　　　,Inakadate-mura,"7,783","7,771",9,"7,699",890,"4,393","2,491",...,49,125,191,205,"6,298","2,382","2,374","1,096",413,600,230,244,21,12,2367
2381,板柳町　　　　,Itayanagi-machi,"13,935","13,912",23,"13,211","1,492","7,700","4,741",...,59,228,258,333,"12,215","4,680","4,660","2,381",982,"1,297",526,595,36,21,2381
2384,鶴田町　　　　,Tsuruta-machi,"13,392","13,376",15,"12,499","1,508","7,492","4,392",...,48,189,223,276,"11,653","4,384","4,368","2,280",874,"1,169",447,564,18,20,2384
2387,中泊町　　　　,Nakadomari-machi,"11,187","11,168",17,"10,568",960,"5,921","4,283",...,33,230,167,280,"10,447","4,118","4,102","2,093",994,"1,245",654,669,26,16,2387
2401,野辺地町　　　,Noheji-machi,"13,524","13,440",72,"12,894","1,425","7,513","4,565","5,594",35,200,282,349,"12,731","5,565","5,549","3,023","1,736","1,533",741,801,42,23,2401
2402,七戸町　　　　,Shichinohe-machi,"15,709","15,677",32,"15,143","1,604","8,419","5,684",...,64,302,330,375,"15,043","5,572","5,551","2,867","1,334","1,631",745,746,39,18,2402
2405,六戸町　　　　,Rokunohe-machi,"10,423","10,364",51,"10,948","1,311","5,790","3,231",...,66,140,320,333,"9,028","3,570","3,559","2,058",648,952,450,349,27,17,2405
2406,横浜町　　　　,Yokohama-machi,"4,535","4,519",16,"4,376",446,"2,440","1,649",...,14,74,116,121,"4,545","1,785","1,781",850,597,490,217,262,20,3,2406
2408,東北町　　　　,Tohoku-machi,"17,955","17,884",53,"17,154","2,008","9,844","6,050",...,103,287,346,432,"16,232","5,974","5,941","3,007","1,330","1,571",705,720,43,22,2408
2411,六ヶ所村　　　,Rokkasho-mura,"10,536","10,440",83,"10,131","1,291","6,714","2,427",...,56,135,415,462,"15,878","4,683","4,673","1,861","2,152",732,341,357,44,23,2411
2412,おいらせ町　　,Oirase-cho,"24,222","24,103",115,"25,288","3,438","14,755","5,984",...,188,288,"1,035",926,"20,551","8,658","8,640","5,197","1,864","1,864",824,737,81,41,2412
2423,大間町　　　　,Oma-machi,"5,227","5,216",11,"5,125",623,"3,007","1,537",...,28,80,155,213,"5,627","2,152","2,149","1,083",721,522,242,262,16,10,2423
2424,東通村　　　　,Higashidori-mura,"6,607","6,598",9,"6,153",761,"3,802","2,044",...,33,125,173,256,"6,343","2,578","2,570","1,193",858,642,285,272,25,12,2424
2425,風間浦村　　　,Kazamaura-mura,"1,976","1,975",1,"1,796",170,"1,032",774,...,6,48,28,47,"1,713",823,821,423,251,268,129,150,4,3,2425
2426,佐井村　　　　,Sai-mura,"2,148","2,147",1,"1,912",191,"1,084",872,...,6,42,31,44,"1,994",906,904,440,309,278,125,185,2,1,2426
2441,三戸町　　　　,Sannohe-machi,"10,135","10,087",41,"9,690",997,"5,332","3,784",...,44,165,180,265,"9,993","3,756","3,748","1,863",986,"1,065",503,554,24,11,2441
2442,五戸町　　　　,Gonohe-machi,"17,433","17,383",47,"16,679","1,689","9,541","6,191",...,73,285,309,429,"15,745","6,123","6,110","3,297","1,305","1,860",832,735,30,25,2442
2443,田子町　　　　,Takko-machi,"5,554","5,536",18,"5,282",516,"2,845","2,192",...,22,91,71,111,"5,432","2,006","1,997",965,498,603,276,296,15,2,2443
2445,南部町　　　　,Nambu-cho,"18,312","18,272",40,"17,569","1,869","9,882","6,557",...,71,320,404,457,"15,501","6,419","6,391","3,471","1,386","1,930",830,850,33,25,2445
2446,階上町　　　　,Hashikami-cho,"14,025","13,983",39,"13,232","1,471","8,599","3,802",...,64,192,370,419,"10,593","5,699","5,679","2,954","1,872","1,289",606,483,27,21,2446
2450,新郷村　　　　,Shingo-mura,"2,509","2,502",7,"2,359",206,"1,177","1,126",...,8,54,30,48,"2,341",831,828,353,168,264,114,124,7,1,2450
3,岩手県　　　,Iwate-ken,"1,279,594","1,272,745","5,017","1,221,205","150,992","734,886","386,573","407,920","6,718","17,204","34,178","38,129","1,276,705","493,049","489,383","251,014","148,575","114,500","53,475","53,398","3,918","1,679",3
3201,盛岡市　　　　,Morioka-shi,"297,631","295,258","1,126","286,820","36,828","182,979","73,729","237,280","1,873","3,135","10,855","11,282","314,704","129,718","129,420","66,640","49,931","24,728","12,431","12,490","1,184",430,3201
3202,宮古市　　　　,Miyako-shi,"56,676","56,509",112,"50,562","6,060","31,218","19,167","15,521",265,861,"1,087","1,656","58,176","23,387","22,544","11,399","7,410","6,008","2,857","3,193",158,79,3202
3203,大船渡市　　　,Ofunato-shi,"38,058","37,790",257,"35,107","4,014","20,921","12,906","5,063",165,570,783,"1,150","39,494","14,807","14,489","6,891","4,380","3,803","1,770","1,680",106,45,3203
3205,花巻市　　　　,Hanamaki-shi,"97,702","97,398",240,"94,438","11,622","54,618","31,259","13,659",492,"1,407","2,257","2,205","93,852","33,799","33,671","16,988","8,116","8,269","3,649","3,612",308,120,3205
3206,北上市　　　　,Kitakami-shi,"93,511","93,024",383,"92,370","12,780","56,581","23,546","30,471",565,"1,061","3,315","2,996","97,130","35,861","35,800","18,326","11,031","6,721","2,987","3,019",358,161,3206
3207,久慈市　　　　,Kuji-shi,"35,642","35,438",171,"34,094","4,505","20,544","10,527","7,837",195,492,806,"1,090","36,065","14,256","14,226","7,861","4,354","3,479","1,722","1,757",90,42,3207
3208,遠野市　　　　,Tono-shi,"28,062","27,971",90,"26,013","3,000","14,533","10,471",...,126,500,473,631,"27,251","9,973","9,926","4,663","2,633","2,773","1,228","1,409",57,22,3208
3209,一関市　　　　,Ichinoseki-shi,"121,583","120,790",695,"113,604","13,750","67,024","40,468","23,292",553,"1,780","2,178","2,789","121,401","43,046","42,905","21,007","11,055","11,029","4,787","4,809",325,148,3209
3210,陸前高田市　　,Rikuzentakata-shi,"19,758","19,654",102,"18,637","1,951","10,472","7,230",...,95,347,428,459,"18,917","7,487","7,278","3,350","2,154","1,963",900,929,47,22,3210
3211,釜石市　　　　,Kamaishi-shi,"36,802","36,633",157,"32,176","3,649","19,994","13,044","15,419",130,603,806,"1,132","39,546","16,860","16,048","8,272","6,033","4,317","2,268","2,675",100,31,3211
3213,二戸市　　　　,Ninohe-shi,"27,611","27,446",157,"26,138","3,131","15,264","9,171",...,124,402,549,715,"28,232","10,670","10,637","5,483","3,092","2,738","1,274","1,363",53,30,3213
3214,八幡平市　　　,Hachimantai-shi,"26,355","26,243",109,"24,788","2,553","14,267","9,528",...,86,418,538,663,"25,162","9,429","9,406","4,842","2,255","2,743","1,271","1,143",77,28,3214
3215,奥州市　　　　,Oshu-shi,"119,422","118,952",411,"114,644","14,400","66,315","38,526","24,831",627,"1,728","2,275","2,660","115,443","41,726","41,593","21,326","10,117","10,304","4,658","4,449",349,178,3215
