,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
1452,鷹栖町　　　　,Takasu-cho,"7,018","7,014",4,"6,771","1,040","3,852","2,126",...,30,78,206,204,"6,136","2,717","2,710","1,905",568,815,474,343,9,10,1452
1453,東神楽町　　　,Higashikagura-cho,"10,233","10,219",14,"10,154","1,609","6,007","2,617",...,46,119,335,352,"8,408","3,657","3,644","2,708",600,879,526,315,27,17,1453
1454,当麻町　　　　,Tohma-cho,"6,689","6,682",7,"6,372",721,"3,309","2,659",...,30,97,233,193,"6,052","2,698","2,683","1,731",682,940,567,432,23,11,1454
1455,比布町　　　　,Pippu-cho,"3,777","3,776",1,"3,616",358,"1,896","1,523",...,13,47,79,111,"3,362","1,586","1,579",982,423,558,343,237,5,8,1455
1456,愛別町　　　　,Aibetsu-cho,"2,976","2,941",35,"2,681",275,"1,443","1,258",...,7,48,72,138,"2,948","1,305","1,301",728,431,416,274,236,5,1,1456
1457,上川町　　　　,Kamikawa-cho,"4,044","4,002",42,"3,398",357,"2,082","1,605",...,17,43,140,196,"4,293","2,102","2,097",980,997,566,395,388,12,5,1457
1458,東川町　　　　,Higashikawa-cho,"8,111","7,900",211,"8,437","1,057","4,450","2,603",...,40,103,448,364,"8,201","3,148","3,132","2,009",826,885,565,363,15,14,1458
1459,美瑛町　　　　,Biei-cho,"10,292","10,252",40,"9,775","1,116","5,437","3,735",...,42,140,288,319,"10,206","4,288","4,274","2,451","1,308","1,227",739,653,35,12,1459
1460,上富良野町　　,Kamifurano-cho,"10,826","10,804",22,"10,501","1,415","6,141","3,234","6,569",64,111,510,625,"10,681","4,363","4,317","2,696","1,188","1,198",781,492,49,16,1460
1461,中富良野町　　,Nakafurano-cho,"5,069","5,057",12,"4,849",648,"2,703","1,672",...,24,81,173,195,"4,858","2,025","2,021","1,174",559,561,361,258,12,7,1461
1462,南富良野町　　,Minamifurano-cho,"2,555","2,544",11,"2,385",288,"1,451",816,...,10,46,98,115,"2,720","1,132","1,120",559,475,246,176,164,8,6,1462
1463,占冠村　　　　,Shimukappu-mura,"1,211","1,150",61,"1,315",116,770,311,...,9,10,199,262,"1,359",704,704,287,384,118,84,66,7,3,1463
1464,和寒町　　　　,Wassamu-cho,"3,596","3,588",8,"3,222",360,"1,709","1,527",...,13,51,66,82,"3,496","1,533","1,530",874,476,506,335,270,6,8,1464
1465,剣淵町　　　　,Kembuchi-cho,"3,228","3,225",3,"3,012",307,"1,733","1,188",...,16,38,75,106,"3,133","1,330","1,317",774,392,389,263,210,1,4,1465
1468,下川町　　　　,Shimokawa-cho,"3,547","3,515",32,"3,186",350,"1,827","1,370",...,17,60,114,136,"3,640","1,674","1,575",899,571,462,289,293,14,5,1468
1469,美深町　　　　,Bifuka-cho,"4,659","4,646",13,"4,112",431,"2,495","1,728",...,15,64,187,270,"4,735","2,041","2,018","1,131",725,622,404,330,17,3,1469
1470,音威子府村　　,Otoineppu-mura,832,825,7,699,45,558,229,...,7,8,84,112,928,405,371,184,161,85,66,35,1,1,1470
1471,中川町　　　　,Nakagawa-cho,"1,767","1,755",12,"1,440",183,958,626,...,5,25,51,82,"1,782",897,892,462,386,219,152,131,4,1,1471
1472,幌加内町　　　,Horokanai-cho,"1,525","1,523",2,"1,386",154,774,597,...,4,27,46,82,"1,589",690,685,395,245,226,151,101,4,2,1472
